,name,token,type,exchange,ticksize
0,ZMILGFIN,130820612,EQ,BSE,0.05
1,WELSPLSOL,128093444,EQ,BSE,0.01
2,UTICRFSRQR,138956804,EQ,BSE,0.01
3,UTICRFSRQP,138956548,EQ,BSE,0.01
4,UTICRFSRMR,138956292,EQ,BSE,0.01
5,UTICRFSRMP,138956036,EQ,BSE,0.01
6,UTICRFSRHR,138955780,EQ,BSE,0.01
7,UTICRFSRHP,138955524,EQ,BSE,0.01
8,UTICRFSRGR,138955268,EQ,BSE,0.01
9,UTICRFSRFR,138955012,EQ,BSE,0.01
10,UTICRFSRFP,138954756,EQ,BSE,0.01
11,UTICRFSRAR,138954500,EQ,BSE,0.01
12,UTICRFSRAP,138954244,EQ,BSE,0.01
13,UTICRFSDQR,138951684,EQ,BSE,0.01
14,UTICRFSDQP,138951428,EQ,BSE,0.01
15,UTICRFSDMR,138953988,EQ,BSE,0.01
16,UTICRFSDMP,138953732,EQ,BSE,0.01
17,UTICRFSDHR,138953220,EQ,BSE,0.01
18,UTICRFSDHP,138952708,EQ,BSE,0.01
19,UTICRFSDGR,138951940,EQ,BSE,0.01
20,TRANSPACT,138947844,EQ,BSE,0.05
21,TMTIND-B1,133675780,EQ,BSE,0.01
22,THIRDFIN,136102916,EQ,BSE,0.05
23,VANDANA,136215044,EQ,BSE,0.01
24,GOODLUCK,135847684,EQ,BSE,0.05
25,GOLKUNDIA,134061060,EQ,BSE,0.01
26,GOLECHA,136028164,EQ,BSE,0.01
27,GOLDTECH,136048388,EQ,BSE,0.01
28,GOLDSHARE,151065860,EQ,BSE,0.01
29,GOLDLINE,137774084,EQ,BSE,0.01
30,GOLDENCREST,138255876,EQ,BSE,0.05
31,GOKEX,136353284,EQ,BSE,0.05
32,GOKAKTEX,136436996,EQ,BSE,0.01
33,GOGIACAP,136089604,EQ,BSE,0.05
34,GOENKA,136496388,EQ,BSE,0.01
35,GODREJPROP,136486404,EQ,BSE,0.05
36,GODREJIND,128041988,EQ,BSE,0.05
37,GODREJCP,136300548,EQ,BSE,0.05
38,GODREJAGRO,138430212,EQ,BSE,0.05
39,GODFRYPHLP,128041732,EQ,BSE,0.05
40,GOCLCORP,129658884,EQ,BSE,0.05
41,GNRL,131465220,EQ,BSE,0.01
42,YUVRAAJHPL,136105732,EQ,BSE,0.01
43,YES28MAR12,249018372,EQ,BSE,0.01
44,YASTF,131160324,EQ,BSE,0.05
45,WWLEATH,134790404,EQ,BSE,0.05
46,WORL,138922756,EQ,BSE,0.05
47,UTICRFSDFR,138953476,EQ,BSE,0.01
48,UTICRFSDFP,138952964,EQ,BSE,0.01
49,UTICRFSDAR,138952452,EQ,BSE,0.01
50,UTICRFSDAP,138952196,EQ,BSE,0.01
51,TATASTLLP,131330564,EQ,BSE,0.05
52,VIVIDM,138763780,EQ,BSE,0.05
53,VINTRON,132452612,EQ,BSE,0.01
54,VCPL27JUN19,245477892,EQ,BSE,0.01
55,VCKCAP,130942212,EQ,BSE,0.01
56,VAIBHAVGBL*,136231940,EQ,BSE,0.05
57,SGBSEP27,204877060,EQ,BSE,0.01
