Stock,LQ8371,IV8690
ACC,1,1
ADANIENT,10,10
ADANIPORTS,6,6
ADANIPOWER,50,50
AMARAJABAT,2,2
AMBUJACEM,6,6
APOLLOHOSP,1,1
APOLLOTYRE,8,8
AASHOKLEY,15,15
ASIANPAINT,2,2
AUROPHARMA,3,3
AXISBANK,3,3
BAJAJ-AUTO,1,1
BAJAJFINSV,0,0
BAJFINANCE,1,1
BALKRISIND,2,2
BANDHANBNK,3,3
BANKBARODA,11,11
BATAINDIA,1,1
BEL,15,15
BERGEPAINT,6,6
BHARATFORG,3,3
BHARTIARTL,5,5
BHEL,19,19
BIOCON,5,5
BOSCHLTD,0,0
BPCL,5,5
BRITANNIA,1,1
CADILAHC,4,4
CANBK,5,5
CENTURYTEX,2,2
CESC,2,2
CHOLAFIN,6,6
CIPLA,3,3
COALINDIA,6,6
COLPAL,2,2
CONCOR,4,4
CUMMINSIND,2,2
DABUR,3,3
DIVISLAB,1,1
DLF,7,7
DRREDDY,1,1
EICHERMOT,0,0
EQUITAS,10,10
ESCORTS,3,3
EXIDEIND,6,6
FEDERALBNK,18,18
GAIL,13,13
GLENMARK,3,3
GMRINFRA,113,113
GODREJCP,2,2
GODREJPROP,2,2
GRASIM,2,2
HAVELLS,3,3
HCLTECH,2,2
HDFC,1,1
HDFCBANK,1,1
HDFCLIFE,2,2
HEROMOTOCO,1,1
HINDALCO,9,9
HINDPETRO,5,5
HINDUNILVR,1,1
IBULHSGFIN,2,2
ICICIBANK,3,3
ICICIPRULI,4,4
IDEA,70,70
IDFCFIRSTB,30,30
IGL,7,7
INDIGO,2,2
INDUSINDBK,1,1
INFRATEL,5,5
INFY,3,3
IOC,9,9
ITC,6,6
JINDALSTEL,8,8
JSWSTEEL,5,5
JUBLFOOD,1,1
JUSTDIAL,4,4
KOTAKBANK,1,1
L&TFH,11,11
LICHSGFIN,3,3
LT,1,1
LUPIN,2,2
M&M,3,3
M&MFIN,3,3
MANAPPURAM,15,15
MARICO,7,7
MARUTI,0,0
MCDOWELL-N,3,3
MFSL,3,3
MGL,2,2
MINDTREE,2,2
MOTHERSUMI,8,8
MRF,0,0
MUTHOOTFIN,4,4
NATIONALUM,25,25
NAUKRI,1,1
NCC,20,20
NESTLEIND,0,0
NIITTECH,2,2
NMDC,15,15
NTPC,12,12
OIL,8,8
ONGC,9,9
PAGEIND,0,0
PEL,1,1
PETRONET,8,8
PFC,16,16
PIDILITIND,1,1
PNB,18,18
POWERGRID,10,10
PVR,1,1
RAMCOCEM,2,2
RBLBANK,3,3
RECLTD,15,15
RELIANCE,1,1
SAIL,30,30
SBIN,8,8
SHREECEM,0,0
SIEMENS,1,1
SRF,1,1
SRTRANSFIN,2,2
SUNPHARMA,3,3
SUNTV,3,3
TATACHEM,2,2
TATACONSUM,7,7
TATAMOTORS,8,8
TATAPOWER,23,23
TATASTEEL,3,3
TCS,1,1
TECHM,3,3
TITAN,2,2
TORNTPHARM,1,1
TORNTPOWER,8,8
TVSMOTOR,3,3
UBL,2,2
UJJIVAN,4,4
ULTRACEMCO,1,1
UPL,2,2
VEDL,8,8
VOLTAS,3,3
WIPRO,8,8
YESBANK,6,6
ZEEL,3,3
